"Analysis","Method","Effect","Strata","Cutpoint","TV.age","Outcome","Doubly.robust","Covariates","Missing","Order","Sample.weights","Attention.cutpoint","Estimate","StdErr","p"
"PSA","IPTW","ATE",NA,"20/80","~1.5","Raw","No","Original","trees",NA,NA,NA,-0.0172709436851892,0.0319381237075296,0.588778253447545
"PSA","IPTW","ATE",NA,"20/80","~1.5","Raw","No","Original","trees",NA,"Sample weights",NA,-0.0676804026872644,0.046711385390479,0.147642525665922
"PSA","IPTW","ATE",NA,"20/80","~1.5","Raw","Yes","Original","trees",NA,NA,NA,-0.010553665329594,0.0368262994028782,0.774490789559172
"PSA","IPTW","ATE",NA,"20/80","~1.5","Raw","Yes","Original","trees",NA,"Sample weights",NA,-0.0442244924362335,0.0564164760421266,0.433279566923378
"PSA","IPTW","ATE",NA,"20/80","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.500091688778114,1.04571084778149,0.632580421628688
"PSA","IPTW","ATE",NA,"20/80","~1.5","Within-sex SS","No","Original","trees",NA,"Sample weights",NA,0.471064770960693,1.38457107402355,0.733752434413016
"PSA","IPTW","ATE",NA,"20/80","~1.5","Within-sex SS","Yes","Original","trees",NA,NA,NA,-0.724900684583185,1.17002565138891,0.535684893003936
"PSA","IPTW","ATE",NA,"20/80","~1.5","Within-sex SS","Yes","Original","trees",NA,"Sample weights",NA,-0.249544455984362,1.60190035108559,0.876236783447579
"PSA","IPTW","ATT",NA,"20/80","~1.5","Raw","No","Original","trees",NA,NA,NA,0.0193403775177769,0.0338104523144507,0.567420247473021
"PSA","IPTW","ATT",NA,"20/80","~1.5","Raw","No","Original","trees",NA,"Sample weights",NA,-0.017089432782956,0.0372491209996689,0.646475360190858
"PSA","IPTW","ATT",NA,"20/80","~1.5","Raw","Yes","Original","trees",NA,NA,NA,0.016183403851797,0.0341119271544018,0.635302701062018
"PSA","IPTW","ATT",NA,"20/80","~1.5","Raw","Yes","Original","trees",NA,"Sample weights",NA,-0.00807547839014589,0.0396933455812734,0.838826998708357
"PSA","IPTW","ATT",NA,"20/80","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-1.51532367116225,1.15321575016896,0.189120191758703
"PSA","IPTW","ATT",NA,"20/80","~1.5","Within-sex SS","No","Original","trees",NA,"Sample weights",NA,-0.418200568846917,1.27574821603223,0.743119047214237
"PSA","IPTW","ATT",NA,"20/80","~1.5","Within-sex SS","Yes","Original","trees",NA,NA,NA,-1.67802262733851,1.20471800756283,0.163970982601087
"PSA","IPTW","ATT",NA,"20/80","~1.5","Within-sex SS","Yes","Original","trees",NA,"Sample weights",NA,-0.811754451472555,1.3573715868696,0.549954396762209
"PSA","IPTW","ATE",NA,"20/80","~3","Raw","No","Original","trees",NA,NA,NA,-0.0690203569409895,0.0309555865885441,0.026027978599905
"PSA","IPTW","ATE",NA,"20/80","~3","Raw","No","Original","trees",NA,"Sample weights",NA,-0.114686960728607,0.0386884499324474,0.00311684588236692
"PSA","IPTW","ATE",NA,"20/80","~3","Raw","Yes","Original","trees",NA,NA,NA,-0.0654304730010594,0.033403628167142,0.0504909364524198
"PSA","IPTW","ATE",NA,"20/80","~3","Raw","Yes","Original","trees",NA,"Sample weights",NA,-0.0988439757554997,0.042779474580404,0.021115635634544
"PSA","IPTW","ATE",NA,"20/80","~3","Within-sex SS","No","Original","trees",NA,NA,NA,1.35407839034091,1.05479409006194,0.199586668924152
"PSA","IPTW","ATE",NA,"20/80","~3","Within-sex SS","No","Original","trees",NA,"Sample weights",NA,2.88691778887683,1.28479772488421,0.024899146777921
"PSA","IPTW","ATE",NA,"20/80","~3","Within-sex SS","Yes","Original","trees",NA,NA,NA,1.28772651399117,1.12607132511123,0.253162423141071
"PSA","IPTW","ATE",NA,"20/80","~3","Within-sex SS","Yes","Original","trees",NA,"Sample weights",NA,2.29327983216426,1.3776784242183,0.09639941655317
"PSA","IPTW","ATT",NA,"20/80","~3","Raw","No","Original","trees",NA,NA,NA,-0.0479018183797526,0.0356087034864392,0.178906691068512
"PSA","IPTW","ATT",NA,"20/80","~3","Raw","No","Original","trees",NA,"Sample weights",NA,-0.109524124222201,0.0387167926693322,0.00478030254182494
"PSA","IPTW","ATT",NA,"20/80","~3","Raw","Yes","Original","trees",NA,NA,NA,-0.0597260253467043,0.0360639527529019,0.0980918176915946
"PSA","IPTW","ATT",NA,"20/80","~3","Raw","Yes","Original","trees",NA,"Sample weights",NA,-0.110873762053564,0.0407315231766938,0.00662906688575109
"PSA","IPTW","ATT",NA,"20/80","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.385947150547992,1.1831929411686,0.744360641361827
"PSA","IPTW","ATT",NA,"20/80","~3","Within-sex SS","No","Original","trees",NA,"Sample weights",NA,2.3848122674938,1.23966714111905,0.0547221055033719
"PSA","IPTW","ATT",NA,"20/80","~3","Within-sex SS","Yes","Original","trees",NA,NA,NA,0.741583921414943,1.18907235723092,0.533028868192651
"PSA","IPTW","ATT",NA,"20/80","~3","Within-sex SS","Yes","Original","trees",NA,"Sample weights",NA,2.38122698529011,1.2679618520768,0.0607536544339058
"PSA","IPTW","ATE",NA,"20/80","~1.5","Raw","No","Expanded","trees",NA,NA,NA,-0.0184014456631925,0.0315766168907567,0.560174721078998
"PSA","IPTW","ATE",NA,"20/80","~1.5","Raw","No","Expanded","trees",NA,"Sample weights",NA,-0.0633398423928407,0.0456746817375003,0.165789534216336
"PSA","IPTW","ATE",NA,"20/80","~1.5","Raw","Yes","Expanded","trees",NA,NA,NA,-0.00285957803350922,0.0352639999677932,0.935384421818161
"PSA","IPTW","ATE",NA,"20/80","~1.5","Raw","Yes","Expanded","trees",NA,"Sample weights",NA,-0.0358818562537349,0.0520329269813201,0.490589350176206
"PSA","IPTW","ATE",NA,"20/80","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.357413946891815,1.04020057854602,0.731211924521396
"PSA","IPTW","ATE",NA,"20/80","~1.5","Within-sex SS","No","Expanded","trees",NA,"Sample weights",NA,0.504439338683925,1.34770560435458,0.708256931059818
"PSA","IPTW","ATE",NA,"20/80","~1.5","Within-sex SS","Yes","Expanded","trees",NA,NA,NA,-0.766657513582761,1.13263090105568,0.498623503149909
"PSA","IPTW","ATE",NA,"20/80","~1.5","Within-sex SS","Yes","Expanded","trees",NA,"Sample weights",NA,-0.319528292077246,1.49972645814109,0.831321532082917
"PSA","IPTW","ATT",NA,"20/80","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.018040170371104,0.0344574664335829,0.600695407921013
"PSA","IPTW","ATT",NA,"20/80","~1.5","Raw","No","Expanded","trees",NA,"Sample weights",NA,-0.019632875706297,0.0369054566113988,0.594846554572929
