"Analysis","Method","Effect","Strata","Cutpoint","TV.age","Outcome","Doubly.robust","Covariates","Missing","Order","Sample.weights","Attention.cutpoint","Estimate","StdErr","p","CI.lower","CI.upper"
"PSA","stratification","ATE","4","20/80","~1.5","Raw","No","Original","trees",NA,NA,NA,-0.0100276533652016,0.0481789399778789,0.835163368594436,-0.104456640535161,0.084401333804758
"PSA","stratification","ATE","4","20/80","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.146768056569388,1.44900903038264,0.919339913324218,-2.98677356939267,2.69323745625389
"PSA","stratification","ATE","4","20/80","~3","Raw","No","Original","trees",NA,NA,NA,0.00210076462429393,0.0403563855682526,0.958497033534831,-0.0769962976356932,0.0811978268842811
"PSA","stratification","ATE","4","20/80","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-0.592144415783766,1.27908883474128,0.643526013053645,-3.09911246490397,1.91482363333644
"PSA","stratification","ATE","4","20/80","~1.5","Raw","No","Expanded","trees",NA,NA,NA,-0.00370554033149371,0.0486792529791829,0.939336285576514,-0.0991151229650064,0.091704042302019
"PSA","stratification","ATE","4","20/80","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.428211564334753,1.46003337714209,0.769356869877324,-3.28982439975963,2.43340127109012
"PSA","stratification","ATE","4","20/80","~3","Raw","No","Expanded","trees",NA,NA,NA,0.0194747673316486,0.0422589088306669,0.645030200485465,-0.06335117200242,0.102300706665717
"PSA","stratification","ATE","4","20/80","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-1.02547691105513,1.30270206841369,0.431392201569214,-3.5787260477318,1.52777222562155
"PSA","stratification","ATE","4","30/70","~1.5","Raw","No","Original","trees",NA,NA,NA,0.00193992919755645,0.0317250609383883,0.95125065505216,-0.0602400476490231,0.064119906044136
"PSA","stratification","ATE","4","30/70","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.352878433638964,1.07257840978338,0.742208830156648,-2.45509348740962,1.7493366201317
"PSA","stratification","ATE","4","30/70","~3","Raw","No","Original","trees",NA,NA,NA,-0.00769530066053169,0.0260389747305907,0.767633522258049,-0.058730753326838,0.0433401520057746
"PSA","stratification","ATE","4","30/70","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.0488402321181944,0.912338155277703,0.957314973885195,-1.73930969394781,1.8369901581842
"PSA","stratification","ATE","4","30/70","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.0164150600075313,0.0326704474074061,0.615440947394348,-0.0476178402697947,0.0804479602848573
"PSA","stratification","ATE","4","30/70","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.970891300110376,1.07521065545842,0.366705759332698,-3.07826546060259,1.13648286038184
"PSA","stratification","ATE","4","30/70","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.00292226168320155,0.0263783666259019,0.911804958368334,-0.0546229102409626,0.0487783868745595
"PSA","stratification","ATE","4","30/70","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.14949408363772,0.910756976623315,0.869642919237811,-1.934544956488,1.63555678921256
"PSA","stratification","ATE","4","40/60","~1.5","Raw","No","Original","trees",NA,NA,NA,0.00937986805367373,0.024923479478173,0.70670726663778,-0.0394692540929685,0.058228990200316
"PSA","stratification","ATE","4","40/60","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.709184161746804,0.855535685785008,0.407259834794519,-2.38600329337419,0.967634969880587
"PSA","stratification","ATE","4","40/60","~3","Raw","No","Original","trees",NA,NA,NA,-0.021899859598332,0.0223436712793944,0.327162693505303,-0.065692650588347,0.0218929313916831
"PSA","stratification","ATE","4","40/60","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.712568813312507,0.776978650105042,0.359223613437443,-0.810281357649923,2.23541898427494
"PSA","stratification","ATE","4","40/60","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.0157870474276268,0.025744115932462,0.539808660400338,-0.0346704926138226,0.0662445874690762
"PSA","stratification","ATE","4","40/60","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.95255461991954,0.868181805845594,0.272720285516745,-2.65415969140985,0.74905045157077
