"Analysis","Method","Effect","Strata","Cutpoint","TV.age","Outcome","Doubly.robust","Covariates","Missing","Order","Sample.weights","Attention.cutpoint","Estimate","StdErr","p"
"PSA","stratification","ATE","4","20/80","~1.5","Raw","No","Original","trees",NA,NA,NA,0.00163919875696592,0.0472050520557239,0.972305292692882
"PSA","stratification","ATE","4","20/80","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.889062656934128,1.42898502778833,0.533963617668578
"PSA","stratification","ATE","4","20/80","~3","Raw","No","Original","trees",NA,NA,NA,-0.0069631857916612,0.0381194382622086,0.855103084157384
"PSA","stratification","ATE","4","20/80","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-0.156715401258176,1.24735288495752,0.900048348021825
"PSA","stratification","ATE","4","20/80","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.00327419519974474,0.0466975582713298,0.944114988311886
"PSA","stratification","ATE","4","20/80","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.671627225744756,1.41894796687387,0.636073736875523
"PSA","stratification","ATE","4","20/80","~3","Raw","No","Expanded","trees",NA,NA,NA,0.0129322336699835,0.0418108411987866,0.757167754614386
"PSA","stratification","ATE","4","20/80","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.70464045277882,1.32939985811731,0.596221981483395
"PSA","stratification","ATE","4","30/70","~1.5","Raw","No","Original","trees",NA,NA,NA,0.00222027344254015,0.0339489308220714,0.94786531263487
"PSA","stratification","ATE","4","30/70","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.645843140805544,1.08006351011071,0.549966092271803
"PSA","stratification","ATE","4","30/70","~3","Raw","No","Original","trees",NA,NA,NA,-0.0195856201473934,0.0260740505004936,0.452688494884828
"PSA","stratification","ATE","4","30/70","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.465896998846289,0.914604896961074,0.610555593111735
"PSA","stratification","ATE","4","30/70","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.0186160648748085,0.0323218671497496,0.56474316055148
"PSA","stratification","ATE","4","30/70","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-1.0522681789369,1.06874040083759,0.325010907231279
"PSA","stratification","ATE","4","30/70","~3","Raw","No","Expanded","trees",NA,NA,NA,0.000122846627923768,0.0265281295741975,0.996305835165131
"PSA","stratification","ATE","4","30/70","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.237897486587194,0.914425398845194,0.794778767403363
"PSA","stratification","ATE","4","40/60","~1.5","Raw","No","Original","trees",NA,NA,NA,0.0146878840664541,0.0260907671018346,0.573542644779783
"PSA","stratification","ATE","4","40/60","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.940968705296243,0.869311836564906,0.279218874935055
"PSA","stratification","ATE","4","40/60","~3","Raw","No","Original","trees",NA,NA,NA,-0.0230494042064793,0.0216392473951867,0.286956943443893
"PSA","stratification","ATE","4","40/60","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.655637931364621,0.758637872642979,0.387587396566571
"PSA","stratification","ATE","4","40/60","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.0151063422321792,0.0255954945882049,0.555139962443675
"PSA","stratification","ATE","4","40/60","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.934924823354208,0.865059881570512,0.27995938686196
"PSA","stratification","ATE","4","40/60","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.0125971036259651,0.0226251440946426,0.577757280980683
"PSA","stratification","ATE","4","40/60","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.388152362935954,0.777954122630246,0.617888467304344
"PSA","stratification","ATE","4","50","~1.5","Raw","No","Original","trees",NA,NA,NA,0.0143414701838872,0.0217892332110907,0.510491786361215
"PSA","stratification","ATE","4","50","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.684243840814514,0.732467390590062,0.350333275831992
